text,label
আমি তার কাছে আজ খুব ভীতিজনক কাহিনী শুনেছি তাই ভয় পাচ্ছি,1
সফলতা অর্জন করতে এতো ভয় পাইলে চলবে না,1
তিনি কাজ করেন কিন্তু ভুল করেন অনেক তাকে কাজ দেয়া ঠিক হবে না,1
তার প্রতি আমার সবসময় ভয় কাজ করে,1
হঠাৎ আমাকে এত মর্যাদা করছে দেখে আমার ভয় লাগছে,1
তোমাদের কি হয়েছে কথা বলছ না কেন,1
আবশেষে চলে যাচ্ছি তার এমন উদারতা দেখে ভয় পেয়ে,1
সবার আদর পাওয়া কষ্টের,1
আমি প্রফুল্লিত নই বরং ভয় পেয়েছি,1
তার প্রতি আমার কোনো প্রবল উদ্দীপনা নেই কারন তার কাছে থেকে খুব ভয় পেয়েছি,1
সে অনেক বড় খারাপ কাজ করেছে তাই তাকে ভয় হয়,1
এতোদিনে তোমার ভয় দূর হলো না,1
সে গৃহ ছেড়ে চলে গেলে একা থাকতে খুব ভয় লাগবে,1
অপেক্ষা করছিলে কিন্তু কেউ আসে নাই,1
সে কিভাবে এখানে আসলো,1
দেখিয়ে আমি চলে যাবো এখানে থাকব না,1
ওয়াদা করতে পারবো না যদি কাজটি না হয়,1
অসহায় মানুষ গুলো তাদের এসব জুলুম অত্যন্ত ভয় পায়,1
তার কারো প্রতি কোনো স্নেহ নেই তাই তাকে ভয় হয়,1
সে ন্যায্য কাজ টা করতে ভয় পেয়েছে,1
সবচেয়ে ভয় হয় কি জেনে,1
তার কি অনেক খারাপ লেগেছে সে কি রাগ করবে,1
আমি আসি নাই এখন গেলে ভাল হবে না,1
আমরা যা করছি সেইটা ঠিক হচ্ছে না,1
সে নেহাৎ অচতুর মানুষ না তাই ভয় লাগে,1
সে অগনতি বার আমাকে ভয় দেখাতে এসেছে,1
আমি আছি ভয় পাওয়া যাবে না,1
সে ভোরবেলা থেকে কাজ করে খুব অবসাদগ্রস্ত তাই তাকে আবার কাজ করতে বলতে ভয় হচ্ছে,1
অসহায় মানুষ গুলো তাদের এসব নিপীড়ন খুব ভয় পায়,1
বাবা ক্ষেপে গেলে আমি খুব ভয় পাই,1
জায়গাটি ভৌতিক জেনেও তুমি এখানে কেনো এসেছ,1
